
#OP 1 2 4 8 16 normal
0.03 33.34 24.91 20.8 18.77 17.76 16.81
0.05 19.96 14.95 12.51 11.31 10.72 10.16
0.07 14.25 10.68 8.95 8.11 7.7 7.31
0.11 9.07 6.8 5.72 5.21 4.96 4.72
0.16 6.24 4.68 3.96 3.62 3.46 3.31
0.25 3.99 3 2.57 2.37 2.28 2.2
